client_id,montant_moyen,dernière_transaction,nb_transactions_mois,dernière_transaction_jour,cluster,cluster_name
93,728530,03/08/2025,24,25,0,Élevé montant / élevé activité / ancien
94,356614,12/08/2025,17,16,5,"Petits mais actifs (faible montant, très actifs)"
95,796343,20/08/2025,2,8,2,Élevé montant / moyen activité / récent
96,391447,20/08/2025,18,8,4,"Fidèles réguliers (activité élevée, montant moyen)"
97,728190,05/08/2025,25,23,0,Élevé montant / élevé activité / ancien
98,887408,02/08/2025,9,26,1,Moyen montant / faible activité / ancien
99,212662,11/08/2025,7,17,3,Faible montant / faible activité / intermédiaire
100,586557,06/08/2025,3,22,1,Moyen montant / faible activité / ancien
101,565133,06/08/2025,8,22,1,Moyen montant / faible activité / ancien
102,477501,01/08/2025,13,27,5,"Petits mais actifs (faible montant, très actifs)"
103,258480,08/08/2025,0,20,1,Moyen montant / faible activité / ancien
104,603351,01/08/2025,14,27,0,Élevé montant / élevé activité / ancien
105,382084,20/08/2025,10,8,3,Faible montant / faible activité / intermédiaire
106,98519,11/08/2025,4,17,3,Faible montant / faible activité / intermédiaire
107,532892,17/08/2025,3,11,3,Faible montant / faible activité / intermédiaire
108,643306,03/08/2025,21,25,0,Élevé montant / élevé activité / ancien
109,304146,24/08/2025,13,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
110,684078,21/08/2025,12,7,2,Élevé montant / moyen activité / récent
111,353896,07/08/2025,7,21,1,Moyen montant / faible activité / ancien
112,382669,04/08/2025,18,24,5,"Petits mais actifs (faible montant, très actifs)"
113,844094,22/08/2025,3,6,2,Élevé montant / moyen activité / récent
114,265712,22/08/2025,13,6,4,"Fidèles réguliers (activité élevée, montant moyen)"
115,806653,22/08/2025,25,6,4,"Fidèles réguliers (activité élevée, montant moyen)"
116,180277,12/08/2025,21,16,5,"Petits mais actifs (faible montant, très actifs)"
117,146254,25/08/2025,17,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
118,580113,05/08/2025,19,23,0,Élevé montant / élevé activité / ancien
119,843221,24/08/2025,13,4,2,Élevé montant / moyen activité / récent
120,650976,09/08/2025,5,19,1,Moyen montant / faible activité / ancien
121,764715,16/08/2025,2,12,2,Élevé montant / moyen activité / récent
122,553683,08/08/2025,7,20,1,Moyen montant / faible activité / ancien
123,933935,25/08/2025,18,3,2,Élevé montant / moyen activité / récent
124,150862,03/08/2025,16,25,5,"Petits mais actifs (faible montant, très actifs)"
125,977184,06/08/2025,17,22,0,Élevé montant / élevé activité / ancien
126,600065,20/08/2025,17,8,4,"Fidèles réguliers (activité élevée, montant moyen)"
127,975397,06/08/2025,20,22,0,Élevé montant / élevé activité / ancien
128,275148,25/08/2025,11,3,3,Faible montant / faible activité / intermédiaire
129,225696,02/08/2025,3,26,1,Moyen montant / faible activité / ancien
130,788956,07/08/2025,10,21,1,Moyen montant / faible activité / ancien
131,63425,20/08/2025,0,8,3,Faible montant / faible activité / intermédiaire
132,742118,13/08/2025,9,15,2,Élevé montant / moyen activité / récent
133,259278,19/08/2025,13,9,3,Faible montant / faible activité / intermédiaire
134,752458,14/08/2025,7,14,2,Élevé montant / moyen activité / récent
135,389849,11/08/2025,7,17,3,Faible montant / faible activité / intermédiaire
136,489769,23/08/2025,6,5,2,Élevé montant / moyen activité / récent
137,744104,04/08/2025,22,24,0,Élevé montant / élevé activité / ancien
138,294299,06/08/2025,18,22,5,"Petits mais actifs (faible montant, très actifs)"
139,575367,20/08/2025,7,8,2,Élevé montant / moyen activité / récent
140,550995,15/08/2025,5,13,2,Élevé montant / moyen activité / récent
141,996435,19/08/2025,15,9,2,Élevé montant / moyen activité / récent
142,481945,15/08/2025,14,13,4,"Fidèles réguliers (activité élevée, montant moyen)"
143,583556,14/08/2025,3,14,1,Moyen montant / faible activité / ancien
144,760228,22/08/2025,15,6,2,Élevé montant / moyen activité / récent
145,423800,02/08/2025,18,26,5,"Petits mais actifs (faible montant, très actifs)"
146,791199,07/08/2025,0,21,1,Moyen montant / faible activité / ancien
147,303666,02/08/2025,23,26,5,"Petits mais actifs (faible montant, très actifs)"
148,667507,02/08/2025,11,26,1,Moyen montant / faible activité / ancien
149,714648,01/08/2025,10,27,1,Moyen montant / faible activité / ancien
150,489691,08/08/2025,5,20,1,Moyen montant / faible activité / ancien
151,193761,16/08/2025,5,12,3,Faible montant / faible activité / intermédiaire
152,486356,07/08/2025,8,21,1,Moyen montant / faible activité / ancien
153,150687,15/08/2025,8,13,3,Faible montant / faible activité / intermédiaire
154,259515,02/08/2025,8,26,5,"Petits mais actifs (faible montant, très actifs)"
155,158290,01/08/2025,5,27,5,"Petits mais actifs (faible montant, très actifs)"
156,726351,07/08/2025,12,21,0,Élevé montant / élevé activité / ancien
157,767052,18/08/2025,25,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
158,494707,02/08/2025,1,26,1,Moyen montant / faible activité / ancien
159,909603,14/08/2025,16,14,0,Élevé montant / élevé activité / ancien
160,915108,21/08/2025,7,7,2,Élevé montant / moyen activité / récent
161,285780,05/08/2025,21,23,5,"Petits mais actifs (faible montant, très actifs)"
162,696646,16/08/2025,11,12,2,Élevé montant / moyen activité / récent
163,751958,11/08/2025,24,17,0,Élevé montant / élevé activité / ancien
164,678635,08/08/2025,3,20,1,Moyen montant / faible activité / ancien
165,69044,15/08/2025,3,13,3,Faible montant / faible activité / intermédiaire
166,552798,18/08/2025,19,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
167,837273,24/08/2025,16,4,2,Élevé montant / moyen activité / récent
168,739001,10/08/2025,16,18,0,Élevé montant / élevé activité / ancien
169,172421,04/08/2025,3,24,1,Moyen montant / faible activité / ancien
170,38943,06/08/2025,4,22,3,Faible montant / faible activité / intermédiaire
171,493575,18/08/2025,10,10,2,Élevé montant / moyen activité / récent
172,791730,12/08/2025,0,16,1,Moyen montant / faible activité / ancien
173,611394,24/08/2025,11,4,2,Élevé montant / moyen activité / récent
174,462471,23/08/2025,16,5,4,"Fidèles réguliers (activité élevée, montant moyen)"
175,524419,09/08/2025,0,19,1,Moyen montant / faible activité / ancien
176,36849,23/08/2025,21,5,4,"Fidèles réguliers (activité élevée, montant moyen)"
177,137492,25/08/2025,18,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
178,290175,14/08/2025,0,14,3,Faible montant / faible activité / intermédiaire
179,502816,01/08/2025,6,27,1,Moyen montant / faible activité / ancien
180,292822,07/08/2025,9,21,5,"Petits mais actifs (faible montant, très actifs)"
181,285408,06/08/2025,21,22,5,"Petits mais actifs (faible montant, très actifs)"
182,844272,08/08/2025,12,20,0,Élevé montant / élevé activité / ancien
183,168489,09/08/2025,6,19,3,Faible montant / faible activité / intermédiaire
184,760893,08/08/2025,5,20,1,Moyen montant / faible activité / ancien
185,313763,05/08/2025,12,23,5,"Petits mais actifs (faible montant, très actifs)"
186,463056,17/08/2025,19,11,4,"Fidèles réguliers (activité élevée, montant moyen)"
187,19674,03/08/2025,16,25,5,"Petits mais actifs (faible montant, très actifs)"
188,291731,03/08/2025,12,25,5,"Petits mais actifs (faible montant, très actifs)"
189,843633,21/08/2025,9,7,2,Élevé montant / moyen activité / récent
190,554658,07/08/2025,0,21,1,Moyen montant / faible activité / ancien
191,145281,20/08/2025,5,8,3,Faible montant / faible activité / intermédiaire
192,514175,12/08/2025,1,16,1,Moyen montant / faible activité / ancien
193,520659,07/08/2025,7,21,1,Moyen montant / faible activité / ancien
194,212822,25/08/2025,20,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
195,342848,24/08/2025,22,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
196,641664,07/08/2025,0,21,1,Moyen montant / faible activité / ancien
197,360878,21/08/2025,5,7,3,Faible montant / faible activité / intermédiaire
198,906454,22/08/2025,17,6,2,Élevé montant / moyen activité / récent
199,936464,12/08/2025,0,16,1,Moyen montant / faible activité / ancien
200,11005,07/08/2025,1,21,3,Faible montant / faible activité / intermédiaire
201,429120,24/08/2025,23,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
202,440391,20/08/2025,18,8,4,"Fidèles réguliers (activité élevée, montant moyen)"
203,396335,06/08/2025,4,22,1,Moyen montant / faible activité / ancien
204,812868,17/08/2025,18,11,0,Élevé montant / élevé activité / ancien
205,75378,12/08/2025,5,16,3,Faible montant / faible activité / intermédiaire
206,769296,07/08/2025,7,21,1,Moyen montant / faible activité / ancien
207,110468,13/08/2025,14,15,5,"Petits mais actifs (faible montant, très actifs)"
208,803949,03/08/2025,23,25,0,Élevé montant / élevé activité / ancien
209,548944,18/08/2025,25,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
210,188171,25/08/2025,0,3,3,Faible montant / faible activité / intermédiaire
211,725024,16/08/2025,15,12,2,Élevé montant / moyen activité / récent
212,828651,01/08/2025,2,27,1,Moyen montant / faible activité / ancien
213,46076,18/08/2025,7,10,3,Faible montant / faible activité / intermédiaire
214,444297,14/08/2025,8,14,3,Faible montant / faible activité / intermédiaire
215,680054,01/08/2025,25,27,0,Élevé montant / élevé activité / ancien
216,389092,18/08/2025,24,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
217,174310,07/08/2025,2,21,3,Faible montant / faible activité / intermédiaire
218,729091,10/08/2025,25,18,0,Élevé montant / élevé activité / ancien
219,348759,04/08/2025,23,24,5,"Petits mais actifs (faible montant, très actifs)"
220,947039,03/08/2025,22,25,0,Élevé montant / élevé activité / ancien
221,83010,16/08/2025,23,12,4,"Fidèles réguliers (activité élevée, montant moyen)"
222,318933,02/08/2025,11,26,5,"Petits mais actifs (faible montant, très actifs)"
223,974602,13/08/2025,9,15,2,Élevé montant / moyen activité / récent
224,570357,06/08/2025,7,22,1,Moyen montant / faible activité / ancien
225,404338,19/08/2025,20,9,4,"Fidèles réguliers (activité élevée, montant moyen)"
226,987613,06/08/2025,12,22,0,Élevé montant / élevé activité / ancien
227,923942,03/08/2025,17,25,0,Élevé montant / élevé activité / ancien
228,812660,10/08/2025,16,18,0,Élevé montant / élevé activité / ancien
229,260785,21/08/2025,24,7,4,"Fidèles réguliers (activité élevée, montant moyen)"
230,148956,23/08/2025,5,5,3,Faible montant / faible activité / intermédiaire
231,966642,11/08/2025,21,17,0,Élevé montant / élevé activité / ancien
232,384525,15/08/2025,0,13,3,Faible montant / faible activité / intermédiaire
233,765944,03/08/2025,11,25,1,Moyen montant / faible activité / ancien
234,707565,15/08/2025,9,13,2,Élevé montant / moyen activité / récent
235,354345,18/08/2025,18,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
236,501582,13/08/2025,23,15,4,"Fidèles réguliers (activité élevée, montant moyen)"
237,32014,08/08/2025,18,20,5,"Petits mais actifs (faible montant, très actifs)"
238,144740,24/08/2025,8,4,3,Faible montant / faible activité / intermédiaire
239,215826,15/08/2025,16,13,4,"Fidèles réguliers (activité élevée, montant moyen)"
240,541438,02/08/2025,19,26,0,Élevé montant / élevé activité / ancien
241,858558,18/08/2025,10,10,2,Élevé montant / moyen activité / récent
242,239414,05/08/2025,12,23,5,"Petits mais actifs (faible montant, très actifs)"
243,958918,13/08/2025,18,15,0,Élevé montant / élevé activité / ancien
244,24981,24/08/2025,7,4,3,Faible montant / faible activité / intermédiaire
245,866671,19/08/2025,11,9,2,Élevé montant / moyen activité / récent
246,130725,03/08/2025,17,25,5,"Petits mais actifs (faible montant, très actifs)"
247,379764,13/08/2025,18,15,4,"Fidèles réguliers (activité élevée, montant moyen)"
248,462197,04/08/2025,24,24,5,"Petits mais actifs (faible montant, très actifs)"
249,717861,17/08/2025,10,11,2,Élevé montant / moyen activité / récent
250,716178,16/08/2025,18,12,0,Élevé montant / élevé activité / ancien
251,604010,21/08/2025,16,7,4,"Fidèles réguliers (activité élevée, montant moyen)"
252,669236,10/08/2025,3,18,1,Moyen montant / faible activité / ancien
253,977676,17/08/2025,23,11,0,Élevé montant / élevé activité / ancien
254,716050,06/08/2025,12,22,0,Élevé montant / élevé activité / ancien
255,373724,25/08/2025,1,3,3,Faible montant / faible activité / intermédiaire
256,916600,13/08/2025,7,15,2,Élevé montant / moyen activité / récent
257,285752,14/08/2025,24,14,4,"Fidèles réguliers (activité élevée, montant moyen)"
258,734772,17/08/2025,20,11,4,"Fidèles réguliers (activité élevée, montant moyen)"
259,748691,24/08/2025,9,4,2,Élevé montant / moyen activité / récent
260,689594,03/08/2025,10,25,1,Moyen montant / faible activité / ancien
261,956206,20/08/2025,4,8,2,Élevé montant / moyen activité / récent
262,126828,20/08/2025,6,8,3,Faible montant / faible activité / intermédiaire
263,699325,23/08/2025,14,5,2,Élevé montant / moyen activité / récent
264,235285,18/08/2025,4,10,3,Faible montant / faible activité / intermédiaire
265,816950,21/08/2025,1,7,2,Élevé montant / moyen activité / récent
266,984029,12/08/2025,4,16,2,Élevé montant / moyen activité / récent
267,251263,24/08/2025,24,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
268,803146,08/08/2025,13,20,0,Élevé montant / élevé activité / ancien
269,64921,08/08/2025,7,20,3,Faible montant / faible activité / intermédiaire
270,913804,06/08/2025,18,22,0,Élevé montant / élevé activité / ancien
271,358284,02/08/2025,10,26,5,"Petits mais actifs (faible montant, très actifs)"
272,842907,06/08/2025,25,22,0,Élevé montant / élevé activité / ancien
273,467028,18/08/2025,22,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
274,505877,15/08/2025,8,13,3,Faible montant / faible activité / intermédiaire
275,415434,06/08/2025,8,22,1,Moyen montant / faible activité / ancien
276,49692,24/08/2025,23,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
277,542297,09/08/2025,15,19,0,Élevé montant / élevé activité / ancien
278,276773,13/08/2025,22,15,4,"Fidèles réguliers (activité élevée, montant moyen)"
279,244089,03/08/2025,12,25,5,"Petits mais actifs (faible montant, très actifs)"
280,79198,01/08/2025,18,27,5,"Petits mais actifs (faible montant, très actifs)"
281,985808,20/08/2025,2,8,2,Élevé montant / moyen activité / récent
282,743462,17/08/2025,6,11,2,Élevé montant / moyen activité / récent
283,996644,15/08/2025,4,13,2,Élevé montant / moyen activité / récent
284,332590,20/08/2025,12,8,3,Faible montant / faible activité / intermédiaire
285,396006,03/08/2025,7,25,1,Moyen montant / faible activité / ancien
286,16181,11/08/2025,18,17,5,"Petits mais actifs (faible montant, très actifs)"
287,756507,22/08/2025,2,6,2,Élevé montant / moyen activité / récent
288,651118,05/08/2025,10,23,1,Moyen montant / faible activité / ancien
289,528079,04/08/2025,15,24,5,"Petits mais actifs (faible montant, très actifs)"
290,307601,01/08/2025,0,27,1,Moyen montant / faible activité / ancien
291,427693,13/08/2025,12,15,3,Faible montant / faible activité / intermédiaire
292,658309,21/08/2025,5,7,2,Élevé montant / moyen activité / récent
293,249058,10/08/2025,20,18,5,"Petits mais actifs (faible montant, très actifs)"
294,567632,24/08/2025,17,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
295,973629,25/08/2025,12,3,2,Élevé montant / moyen activité / récent
296,337788,04/08/2025,24,24,5,"Petits mais actifs (faible montant, très actifs)"
297,677895,13/08/2025,16,15,0,Élevé montant / élevé activité / ancien
298,957745,17/08/2025,1,11,2,Élevé montant / moyen activité / récent
299,668649,15/08/2025,10,13,2,Élevé montant / moyen activité / récent
300,252464,16/08/2025,7,12,3,Faible montant / faible activité / intermédiaire
301,757604,11/08/2025,6,17,1,Moyen montant / faible activité / ancien
302,20016,01/08/2025,19,27,5,"Petits mais actifs (faible montant, très actifs)"
303,244857,16/08/2025,5,12,3,Faible montant / faible activité / intermédiaire
304,989667,13/08/2025,14,15,0,Élevé montant / élevé activité / ancien
305,570118,22/08/2025,10,6,2,Élevé montant / moyen activité / récent
306,531879,08/08/2025,18,20,0,Élevé montant / élevé activité / ancien
307,616484,18/08/2025,25,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
308,57963,03/08/2025,15,25,5,"Petits mais actifs (faible montant, très actifs)"
309,780655,12/08/2025,23,16,0,Élevé montant / élevé activité / ancien
310,302021,25/08/2025,11,3,3,Faible montant / faible activité / intermédiaire
311,224596,18/08/2025,4,10,3,Faible montant / faible activité / intermédiaire
312,96767,24/08/2025,23,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
313,342164,15/08/2025,17,13,4,"Fidèles réguliers (activité élevée, montant moyen)"
314,418066,24/08/2025,18,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
315,62193,10/08/2025,17,18,5,"Petits mais actifs (faible montant, très actifs)"
316,807719,08/08/2025,24,20,0,Élevé montant / élevé activité / ancien
317,824379,14/08/2025,20,14,0,Élevé montant / élevé activité / ancien
318,436065,06/08/2025,11,22,5,"Petits mais actifs (faible montant, très actifs)"
319,708101,03/08/2025,10,25,1,Moyen montant / faible activité / ancien
320,537928,12/08/2025,20,16,0,Élevé montant / élevé activité / ancien
321,498385,01/08/2025,19,27,5,"Petits mais actifs (faible montant, très actifs)"
322,860643,05/08/2025,7,23,1,Moyen montant / faible activité / ancien
323,58195,18/08/2025,10,10,3,Faible montant / faible activité / intermédiaire
324,481388,07/08/2025,23,21,5,"Petits mais actifs (faible montant, très actifs)"
325,888799,12/08/2025,0,16,1,Moyen montant / faible activité / ancien
326,453433,18/08/2025,16,10,4,"Fidèles réguliers (activité élevée, montant moyen)"
327,862066,13/08/2025,9,15,2,Élevé montant / moyen activité / récent
328,622301,14/08/2025,18,14,0,Élevé montant / élevé activité / ancien
329,744985,20/08/2025,1,8,2,Élevé montant / moyen activité / récent
330,586211,09/08/2025,17,19,0,Élevé montant / élevé activité / ancien
331,108519,04/08/2025,13,24,5,"Petits mais actifs (faible montant, très actifs)"
332,178231,15/08/2025,24,13,4,"Fidèles réguliers (activité élevée, montant moyen)"
333,554059,06/08/2025,1,22,1,Moyen montant / faible activité / ancien
334,915965,02/08/2025,8,26,1,Moyen montant / faible activité / ancien
335,951918,07/08/2025,25,21,0,Élevé montant / élevé activité / ancien
336,546841,05/08/2025,21,23,0,Élevé montant / élevé activité / ancien
337,392583,22/08/2025,19,6,4,"Fidèles réguliers (activité élevée, montant moyen)"
338,378275,20/08/2025,6,8,3,Faible montant / faible activité / intermédiaire
339,716686,20/08/2025,2,8,2,Élevé montant / moyen activité / récent
340,716990,24/08/2025,24,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
341,779018,07/08/2025,1,21,1,Moyen montant / faible activité / ancien
342,497765,10/08/2025,19,18,5,"Petits mais actifs (faible montant, très actifs)"
343,13918,25/08/2025,22,3,4,"Fidèles réguliers (activité élevée, montant moyen)"
344,80166,05/08/2025,9,23,5,"Petits mais actifs (faible montant, très actifs)"
345,458084,09/08/2025,3,19,1,Moyen montant / faible activité / ancien
346,222142,03/08/2025,25,25,5,"Petits mais actifs (faible montant, très actifs)"
347,693885,05/08/2025,8,23,1,Moyen montant / faible activité / ancien
348,783896,19/08/2025,16,9,2,Élevé montant / moyen activité / récent
349,457196,24/08/2025,6,4,3,Faible montant / faible activité / intermédiaire
350,753374,17/08/2025,7,11,2,Élevé montant / moyen activité / récent
351,161133,02/08/2025,4,26,1,Moyen montant / faible activité / ancien
352,500708,24/08/2025,23,4,4,"Fidèles réguliers (activité élevée, montant moyen)"
353,689446,20/08/2025,16,8,2,Élevé montant / moyen activité / récent
354,501425,14/08/2025,2,14,3,Faible montant / faible activité / intermédiaire
355,992196,16/08/2025,23,12,0,Élevé montant / élevé activité / ancien
356,47508,23/08/2025,11,5,3,Faible montant / faible activité / intermédiaire
357,239803,03/08/2025,8,25,5,"Petits mais actifs (faible montant, très actifs)"
358,516771,06/08/2025,3,22,1,Moyen montant / faible activité / ancien
359,441304,06/08/2025,1,22,1,Moyen montant / faible activité / ancien
360,426026,01/08/2025,1,27,1,Moyen montant / faible activité / ancien
361,144783,04/08/2025,6,24,5,"Petits mais actifs (faible montant, très actifs)"
362,192406,17/08/2025,12,11,3,Faible montant / faible activité / intermédiaire
363,889787,11/08/2025,2,17,1,Moyen montant / faible activité / ancien
364,927622,21/08/2025,12,7,2,Élevé montant / moyen activité / récent
365,408912,04/08/2025,22,24,5,"Petits mais actifs (faible montant, très actifs)"
366,245117,17/08/2025,18,11,4,"Fidèles réguliers (activité élevée, montant moyen)"
367,267424,19/08/2025,3,9,3,Faible montant / faible activité / intermédiaire
368,340075,15/08/2025,22,13,4,"Fidèles réguliers (activité élevée, montant moyen)"
369,616659,05/08/2025,3,23,1,Moyen montant / faible activité / ancien
370,657521,01/08/2025,16,27,0,Élevé montant / élevé activité / ancien
371,214700,24/08/2025,7,4,3,Faible montant / faible activité / intermédiaire
372,85511,14/08/2025,1,14,3,Faible montant / faible activité / intermédiaire
373,33435,06/08/2025,10,22,5,"Petits mais actifs (faible montant, très actifs)"
374,323518,16/08/2025,6,12,3,Faible montant / faible activité / intermédiaire
375,713330,25/08/2025,14,3,2,Élevé montant / moyen activité / récent
376,807856,01/08/2025,10,27,1,Moyen montant / faible activité / ancien
